ProcessID,OrderID,DateKey,Department,ProcessStep,PlannedDuration_hrs,ActualDuration_hrs,DelayReason,Status,Priority,AssignedTo,StartDateTime,EndDateTime
PRC-0085,ORD-10049,20250130,Service Delivery,Engagement Setup,8,14.4,Volume Processing,Completed,High,Team Hotel,2025-01-30 10:54,2025-01-31 01:18
PRC-0086,ORD-10049,20250130,Service Delivery,Execution,16,17.6,Inventory Mismatch,Completed,Critical,Team Bravo,2025-01-31 01:48,2025-01-31 19:24
PRC-0087,ORD-10718,20230822,Order Processing,Order Verification,2,1.9,,Completed,Medium,Team Hotel,2023-08-22 08:00,2023-08-22 09:54
PRC-0088,ORD-10718,20230822,Warehouse,Pick & Pack,5,4.4,,Completed,Critical,Team Alpha,2023-08-22 10:24,2023-08-22 14:48
PRC-0089,ORD-10718,20230822,Quality Control,Inspection,2,3.7,Approval Pending,Completed,High,Team Foxtrot,2023-08-22 15:18,2023-08-22 19:00
PRC-0090,ORD-10718,20230822,Shipping,Dispatch,3,5.4,Inventory Mismatch,Completed,High,Team Golf,2023-08-22 19:30,2023-08-23 00:54
PRC-0091,ORD-10170,20250429,Order Processing,Order Verification,2,2.0,,Completed,High,Team Foxtrot,2025-04-29 08:00,2025-04-29 10:00
PRC-0092,ORD-10170,20250429,Warehouse,Pick & Pack,5,5.1,,Completed,Critical,Team Charlie,2025-04-29 10:30,2025-04-29 15:36
PRC-0093,ORD-10170,20250429,Quality Control,Inspection,2,2.0,,Completed,High,Team Golf,2025-04-29 16:06,2025-04-29 18:06
PRC-0094,ORD-10170,20250429,Shipping,Dispatch,3,2.8,,Completed,High,Team Bravo,2025-04-29 18:36,2025-04-29 21:24
PRC-0095,ORD-10876,20240403,Order Processing,Order Verification,2,1.8,,Completed,High,Team Alpha,2024-04-03 08:00,2024-04-03 09:48
PRC-0096,ORD-10876,20240403,Warehouse,Pick & Pack,5,5.1,,Completed,High,Team Foxtrot,2024-04-03 10:18,2024-04-03 15:24
PRC-0097,ORD-10876,20240403,Quality Control,Inspection,2,1.7,,Completed,High,Team Delta,2024-04-03 15:54,2024-04-03 17:36
PRC-0098,ORD-10876,20240403,Shipping,Dispatch,3,2.5,,Completed,High,Team Alpha,2024-04-03 18:06,2024-04-03 20:36
PRC-0099,ORD-10011,20251013,Order Processing,Order Verification,2,2.8,Inventory Mismatch,Completed,Low,Team Echo,2025-10-13 08:00,2025-10-13 10:48
PRC-0100,ORD-10011,20251013,Warehouse,Pick & Pack,5,9.6,Equipment Malfunction,Completed,High,Team Alpha,2025-10-13 11:18,2025-10-13 20:54
PRC-0101,ORD-10011,20251013,Quality Control,Inspection,2,1.6,,Completed,High,Team Hotel,2025-10-13 21:24,2025-10-13 23:00
PRC-0102,ORD-10011,20251013,Shipping,Dispatch,3,3.1,,Completed,High,Team Echo,2025-10-13 23:30,2025-10-14 02:36
PRC-0103,ORD-11355,20250618,Order Processing,Order Verification,2,2.1,,Completed,Critical,Team Hotel,2025-06-18 08:00,2025-06-18 10:06
PRC-0104,ORD-11355,20250618,Warehouse,Pick & Pack,5,4.8,,Completed,High,Team Hotel,2025-06-18 10:36,2025-06-18 15:24
PRC-0105,ORD-11355,20250618,Quality Control,Inspection,2,1.9,,Completed,High,Team Bravo,2025-06-18 15:54,2025-06-18 17:48
PRC-0106,ORD-11355,20250618,Shipping,Dispatch,3,3.4,Quality Issue Found,Completed,Medium,Team Charlie,2025-06-18 18:18,2025-06-18 21:42
PRC-0107,ORD-10669,20230906,Order Processing,Order Verification,2,1.7,,Completed,High,Team Bravo,2023-09-06 08:00,2023-09-06 09:42
PRC-0108,ORD-10669,20230906,Service Delivery,Engagement Setup,8,13.4,Staff Shortage,Completed,High,Team Echo,2023-09-06 10:12,2023-09-06 23:36
PRC-0109,ORD-10669,20230906,Service Delivery,Execution,16,13.6,,Completed,High,Team Alpha,2023-09-07 00:06,2023-09-07 13:42
PRC-0110,ORD-10799,20240425,Order Processing,Order Verification,2,3.4,Complex Requirements,Completed,Critical,Team Charlie,2024-04-25 08:00,2024-04-25 11:24
PRC-0111,ORD-10799,20240425,Service Delivery,Engagement Setup,8,7.6,,Completed,Critical,Team Alpha,2024-04-25 11:54,2024-04-25 19:30
PRC-0112,ORD-10799,20240425,Service Delivery,Execution,16,14.4,,Completed,Critical,Team Alpha,2024-04-25 20:00,2024-04-26 10:24
PRC-0113,ORD-10499,20250304,Order Processing,Order Verification,2,3.7,Integration Issues,Completed,Medium,Team Echo,2025-03-04 08:00,2025-03-04 11:42
PRC-0114,ORD-10499,20250304,Warehouse,Pick & Pack,5,7.5,Equipment Malfunction,Completed,High,Team Golf,2025-03-04 12:12,2025-03-04 19:42
PRC-0115,ORD-10499,20250304,Quality Control,Inspection,2,3.5,Staff Shortage,Completed,High,Team Foxtrot,2025-03-04 20:12,2025-03-04 23:42
PRC-0116,ORD-10499,20250304,Shipping,Dispatch,3,4.6,Quality Issue Found,Completed,Medium,Team Hotel,2025-03-05 00:12,2025-03-05 04:48
PRC-0117,ORD-11086,20251215,Order Processing,Order Verification,2,3.9,System Downtime,Completed,High,Team Charlie,2025-12-15 08:00,2025-12-15 11:54
PRC-0118,ORD-11086,20251215,Service Delivery,Engagement Setup,8,13.3,Staff Shortage,Completed,High,Team Alpha,2025-12-15 12:24,2025-12-16 01:42
PRC-0119,ORD-11086,20251215,Service Delivery,Execution,16,23.0,Carrier Delay,Completed,Critical,Team Delta,2025-12-16 02:12,2025-12-17 01:12
PRC-0120,ORD-10022,20230413,Order Processing,Order Verification,2,3.4,Inventory Mismatch,Completed,High,Team Charlie,2023-04-13 08:00,2023-04-13 11:24
PRC-0121,ORD-10022,20230413,Service Delivery,Engagement Setup,8,11.5,Equipment Malfunction,Completed,Medium,Team Charlie,2023-04-13 11:54,2023-04-13 23:24
PRC-0122,ORD-10022,20230413,Service Delivery,Execution,16,14.5,,Completed,Critical,Team Echo,2023-04-13 23:54,2023-04-14 14:24
PRC-0123,ORD-11345,20240410,Order Processing,Order Verification,1,0.8,,Completed,High,Team Hotel,2024-04-10 08:00,2024-04-10 08:48
PRC-0124,ORD-11345,20240410,Fulfillment,License Provisioning,2,3.1,Volume Processing,Completed,High,Team Hotel,2024-04-10 09:18,2024-04-10 12:24
PRC-0125,ORD-11372,20230125,Order Processing,Order Verification,1,1.0,,Completed,Medium,Team Golf,2023-01-25 08:00,2023-01-25 09:00
PRC-0126,ORD-11372,20230125,Fulfillment,License Provisioning,2,3.2,Quality Issue Found,Completed,High,Team Echo,2023-01-25 09:30,2023-01-25 12:42
PRC-0127,ORD-11126,20250106,Order Processing,Order Verification,2,3.5,Integration Issues,Completed,High,Team Echo,2025-01-06 08:00,2025-01-06 11:30
PRC-0128,ORD-11126,20250106,Warehouse,Pick & Pack,5,9.0,Equipment Malfunction,Completed,Medium,Team Echo,2025-01-06 12:00,2025-01-06 21:00
PRC-0129,ORD-11126,20250106,Quality Control,Inspection,2,2.4,Vendor Delay,Completed,High,Team Hotel,2025-01-06 21:30,2025-01-06 23:54
PRC-0130,ORD-11126,20250106,Shipping,Dispatch,3,4.9,Complex Requirements,Completed,High,Team Alpha,2025-01-07 00:24,2025-01-07 05:18
PRC-0131,ORD-10186,20230307,Order Processing,Order Verification,2,2.4,Complex Requirements,Completed,Critical,Team Alpha,2023-03-07 08:00,2023-03-07 10:24
PRC-0132,ORD-10186,20230307,Warehouse,Pick & Pack,5,7.6,Complex Requirements,Completed,High,Team Bravo,2023-03-07 10:54,2023-03-07 18:30
PRC-0133,ORD-10186,20230307,Quality Control,Inspection,2,2.8,System Downtime,Completed,High,Team Charlie,2023-03-07 19:00,2023-03-07 21:48
PRC-0134,ORD-10186,20230307,Shipping,Dispatch,3,2.7,,Completed,High,Team Golf,2023-03-07 22:18,2023-03-08 01:00
PRC-0135,ORD-10649,20231208,Order Processing,Order Verification,2,1.8,,Completed,Medium,Team Foxtrot,2023-12-08 08:00,2023-12-08 09:48
PRC-0136,ORD-10649,20231208,Service Delivery,Engagement Setup,8,7.4,,Completed,High,Team Alpha,2023-12-08 10:18,2023-12-08 17:42
PRC-0137,ORD-10649,20231208,Service Delivery,Execution,16,16.3,,Completed,High,Team Bravo,2023-12-08 18:12,2023-12-09 10:30
PRC-0138,ORD-10346,20240319,Order Processing,Order Verification,2,2.0,,Completed,Critical,Team Golf,2024-03-19 08:00,2024-03-19 10:00
PRC-0139,ORD-10346,20240319,Service Delivery,Engagement Setup,8,6.7,,Completed,Medium,Team Echo,2024-03-19 10:30,2024-03-19 17:12
PRC-0140,ORD-10346,20240319,Service Delivery,Execution,16,16.7,,Completed,Critical,Team Delta,2024-03-19 17:42,2024-03-20 10:24
PRC-0141,ORD-11130,20250814,Order Processing,Order Verification,1,0.9,,Completed,Medium,Team Foxtrot,2025-08-14 08:00,2025-08-14 08:54
PRC-0142,ORD-11130,20250814,Fulfillment,License Provisioning,2,1.6,,Completed,Medium,Team Charlie,2025-08-14 09:24,2025-08-14 11:00
PRC-0143,ORD-11263,20230717,Order Processing,Order Verification,1,0.9,,Completed,Medium,Team Alpha,2023-07-17 08:00,2023-07-17 08:54
PRC-0144,ORD-11263,20230717,Fulfillment,License Provisioning,2,1.7,,Completed,Medium,Team Echo,2023-07-17 09:24,2023-07-17 11:06
PRC-0145,ORD-11374,20230322,Order Processing,Order Verification,2,2.6,Inventory Mismatch,Completed,High,Team Delta,2023-03-22 08:00,2023-03-22 10:36
PRC-0146,ORD-11374,20230322,Warehouse,Pick & Pack,5,8.0,Documentation Missing,Completed,High,Team Hotel,2023-03-22 11:06,2023-03-22 19:06
PRC-0147,ORD-11374,20230322,Quality Control,Inspection,2,2.4,Integration Issues,Completed,High,Team Delta,2023-03-22 19:36,2023-03-22 22:00
PRC-0148,ORD-11374,20230322,Shipping,Dispatch,3,2.9,,Completed,Critical,Team Delta,2023-03-22 22:30,2023-03-23 01:24
PRC-0149,ORD-10530,20250306,Order Processing,Order Verification,1,0.8,,Completed,Medium,Team Charlie,2025-03-06 08:00,2025-03-06 08:48
PRC-0150,ORD-10530,20250306,Fulfillment,License Provisioning,2,1.8,,Completed,High,Team Golf,2025-03-06 09:18,2025-03-06 11:06
PRC-0151,ORD-10044,20240430,Order Processing,Order Verification,1,0.9,,Completed,High,Team Alpha,2024-04-30 08:00,2024-04-30 08:54
PRC-0152,ORD-10044,20240430,Fulfillment,License Provisioning,2,3.3,Documentation Missing,Completed,Medium,Team Foxtrot,2024-04-30 09:24,2024-04-30 12:42
PRC-0153,ORD-11307,20230110,Order Processing,Order Verification,1,1.8,Volume Processing,Completed,High,Team Golf,2023-01-10 08:00,2023-01-10 09:48
PRC-0154,ORD-11307,20230110,Fulfillment,License Provisioning,2,1.9,,Completed,Medium,Team Delta,2023-01-10 10:18,2023-01-10 12:12
PRC-0155,ORD-10653,20241203,Order Processing,Order Verification,2,2.7,Carrier Delay,Completed,High,Team Charlie,2024-12-03 08:00,2024-12-03 10:42
PRC-0156,ORD-10653,20241203,Warehouse,Pick & Pack,5,4.4,,Completed,High,Team Hotel,2024-12-03 11:12,2024-12-03 15:36
PRC-0157,ORD-10653,20241203,Quality Control,Inspection,2,3.9,Approval Pending,Completed,Medium,Team Golf,2024-12-03 16:06,2024-12-03 20:00
PRC-0158,ORD-10653,20241203,Shipping,Dispatch,3,3.0,,Completed,High,Team Bravo,2024-12-03 20:30,2024-12-03 23:30
PRC-0159,ORD-10267,20240711,Order Processing,Order Verification,1,1.8,Vendor Delay,Completed,Critical,Team Alpha,2024-07-11 08:00,2024-07-11 09:48
PRC-0160,ORD-10267,20240711,Fulfillment,License Provisioning,2,2.4,Integration Issues,Completed,High,Team Hotel,2024-07-11 10:18,2024-07-11 12:42
PRC-0161,ORD-10565,20230103,Order Processing,Order Verification,2,3.4,Vendor Delay,Completed,High,Team Alpha,2023-01-03 08:00,2023-01-03 11:24
PRC-0162,ORD-10565,20230103,Warehouse,Pick & Pack,5,6.7,Vendor Delay,Completed,Medium,Team Hotel,2023-01-03 11:54,2023-01-03 18:36
PRC-0163,ORD-10565,20230103,Quality Control,Inspection,2,2.0,,Completed,High,Team Foxtrot,2023-01-03 19:06,2023-01-03 21:06
PRC-0164,ORD-10565,20230103,Shipping,Dispatch,3,3.8,Approval Pending,Completed,High,Team Golf,2023-01-03 21:36,2023-01-04 01:24
PRC-0165,ORD-10837,20230320,Order Processing,Order Verification,1,0.8,,Completed,Low,Team Echo,2023-03-20 08:00,2023-03-20 08:48
PRC-0166,ORD-10837,20230320,Fulfillment,License Provisioning,2,3.7,Quality Issue Found,Completed,Critical,Team Golf,2023-03-20 09:18,2023-03-20 13:00
PRC-0167,ORD-10582,20240131,Order Processing,Order Verification,2,2.7,Carrier Delay,Completed,Critical,Team Hotel,2024-01-31 08:00,2024-01-31 10:42
PRC-0168,ORD-10582,20240131,Service Delivery,Engagement Setup,8,8.2,,Completed,High,Team Echo,2024-01-31 11:12,2024-01-31 19:24
PRC-0169,ORD-10582,20240131,Service Delivery,Execution,16,15.5,,Completed,High,Team Alpha,2024-01-31 19:54,2024-02-01 11:24
PRC-0170,ORD-10836,20230802,Order Processing,Order Verification,2,1.7,,Completed,High,Team Alpha,2023-08-02 08:00,2023-08-02 09:42
PRC-0171,ORD-10836,20230802,Warehouse,Pick & Pack,5,4.4,,Completed,Low,Team Bravo,2023-08-02 10:12,2023-08-02 14:36
PRC-0172,ORD-10836,20230802,Quality Control,Inspection,2,1.6,,Completed,High,Team Delta,2023-08-02 15:06,2023-08-02 16:42
PRC-0173,ORD-10836,20230802,Shipping,Dispatch,3,4.7,System Downtime,Completed,High,Team Hotel,2023-08-02 17:12,2023-08-02 21:54
PRC-0174,ORD-10148,20240708,Order Processing,Order Verification,2,1.7,,Completed,Critical,Team Delta,2024-07-08 08:00,2024-07-08 09:42
PRC-0175,ORD-10148,20240708,Service Delivery,Engagement Setup,8,8.2,,Completed,Critical,Team Hotel,2024-07-08 10:12,2024-07-08 18:24
PRC-0176,ORD-10148,20240708,Service Delivery,Execution,16,22.3,Staff Shortage,Completed,Medium,Team Bravo,2024-07-08 18:54,2024-07-09 17:12
PRC-0177,ORD-10953,20240320,Order Processing,Order Verification,2,2.1,,Completed,Medium,Team Echo,2024-03-20 08:00,2024-03-20 10:06
PRC-0178,ORD-10953,20240320,Service Delivery,Engagement Setup,8,6.4,,Completed,Critical,Team Echo,2024-03-20 10:36,2024-03-20 17:00
PRC-0179,ORD-10953,20240320,Service Delivery,Execution,16,15.8,,Completed,Medium,Team Golf,2024-03-20 17:30,2024-03-21 09:18
PRC-0180,ORD-10765,20250324,Order Processing,Order Verification,1,1.0,,Completed,High,Team Echo,2025-03-24 08:00,2025-03-24 09:00
PRC-0181,ORD-10765,20250324,Fulfillment,License Provisioning,2,1.9,,Completed,High,Team Alpha,2025-03-24 09:30,2025-03-24 11:24
